Year,Ruta,Idestado,Idmunicipio,Idciclo,Idmodalidad,Idcultivo,Sembrada,Volumenproduccion,Precio,Valorproduccion
2018,5,24,5,2,1,7490000,304,881.6,4500,3967200
2018,5,24,2,2,1,7490000,61,146.4,4500,658800
2018,5,24,44,2,1,7490000,441,1543.5,4454.57,6875628.8
2018,5,24,7,2,1,7490000,126,427.14,4684.31,2000856.17
2018,5,24,6,2,1,7490000,103,349.17,4726.15,1650229.8
2018,5,24,49,2,1,7490000,1320.5,5110.33,3817.52,19508786.98
2018,5,24,25,2,1,7490000,240,938.4,3553.45,3334557.48
2018,5,24,35,2,1,7490000,98,425,4050.34,1721394.5
2018,5,24,28,2,1,7490000,490,2205,4239.39,9347854.95
2018,5,24,9,2,1,7490000,12,45.6,3746.75,170851.8
2018,5,24,4,2,1,7490000,78,296.4,3722.31,1103292.68
2018,5,19,17,2,2,7490000,6410,3525,3899.83,13746900.75
2018,5,19,38,2,2,7490000,25,25,3200,80000
2018,5,19,5,2,2,7490000,96.9,164.73,3600,593028
2018,5,19,5,2,1,7490000,96.9,339.15,3800,1288770
2018,4,18,17,2,2,7490000,2012,6659.72,4115.26,27406479.33
2018,4,18,12,2,2,7490000,404,1256.44,4054.53,5094273.67
2018,4,18,12,2,1,7490000,17,104.21,4011.87,418076.97
2018,4,18,8,2,2,7490000,596,1948.92,4085.29,7961903.39
2018,4,18,7,2,2,7490000,2090,9012.08,4144.35,37349222.54
2018,4,18,6,2,2,7490000,805,3272.5,4076.1,13339024.62
2018,4,18,3,2,2,7490000,1023,4395.6,4100.03,18022107.71
2018,4,18,2,2,2,7490000,1275,5537.5,4099.5,22701005.9
2018,4,18,4,2,1,7490000,185,1256.15,3845,4829896.75
2018,4,18,18,2,2,7490000,11,32.33,3340,107982.2
2018,4,18,11,2,2,7490000,748,2348.72,3340,7844724.8
2018,4,18,10,2,2,7490000,665,2074.8,3340,6929832
2018,1,14,119,2,2,7490000,2889.38,12818.94,3769.38,48319468.44
2018,1,14,119,2,1,7490000,709,5429.02,3960.21,21500048.66
2018,1,14,92,2,2,7490000,3914.03,19066.74,3786.69,72199863.54
2018,1,14,92,2,1,7490000,1987.59,14914.93,3945.27,58843425.88
2018,1,14,89,2,2,7490000,232.13,942.57,3788.99,3571388.3
2018,1,14,89,2,1,7490000,306.44,2230.15,3929.42,8763196.01
2018,1,14,14,2,2,7490000,2010.37,8232.12,3773.63,31064967.73
2018,1,14,14,2,1,7490000,2363.02,18426.79,3966.28,73085719
2018,1,14,4,2,2,7490000,516,2444.27,3809.25,9310835.59
2018,1,14,4,2,1,7490000,565,3989.77,3987.08,15907536.5
2018,1,14,18,2,2,7490000,20850,154280.3,4047.7,624480173.5
2018,1,14,18,2,1,7490000,8315,89797.3,4026.03,361526284.8
